"","Date","Type","Price","Landsize","BuildingArea","Rooms","Bathroom","Car","YearBuilt","Distance","Regionname","Propertycount"
"64","30/07/2016","h",1030000,172,81,2,1,1,1930,"2.5","Northern Metropolitan","4019"
"65","30/07/2016","h",NA,NA,NA,4,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"66","30/07/2016","h",927000,NA,NA,3,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"67","3/09/2016","t",840000,303,225,3,2,1,2016,"13.5","Western Metropolitan","3464"
"68","3/12/2016","h",730000,0,145,3,2,1,1965,"13.5","Western Metropolitan","3464"
"69","4/03/2017","h",770000,0,145,3,2,1,1965,"13.5","Western Metropolitan","3464"
"70","4/03/2017","h",NA,580,114,3,1,1,1960,"13.5","Western Metropolitan","3464"
"71","4/03/2017","h",603000,272,84,2,1,1,1950,"13.5","Western Metropolitan","3464"
"72","4/03/2017","t",700000,239,134,3,2,2,2009,"13.5","Western Metropolitan","3464"
"73","4/03/2017","h",600000,290,116,3,1,1,1980,"13.5","Western Metropolitan","3464"
"74","4/03/2017","u",500000,168,86,2,1,1,2011,"13.5","Western Metropolitan","3464"
"75","4/06/2016","t",420000,NA,NA,2,NA,NA,NA,"13.5","Western Metropolitan","3464"
"76","4/06/2016","t",500000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"77","6/08/2016","h",1035000,NA,NA,5,NA,NA,NA,"13.5","Western Metropolitan","3464"
"78","6/08/2016","h",960000,NA,NA,4,NA,NA,NA,"13.5","Western Metropolitan","3464"
"79","6/08/2016","h",960000,NA,NA,4,NA,NA,NA,"13.5","Western Metropolitan","3464"
"80","6/08/2016","h",720000,620,NA,3,1,1,NA,"13.5","Western Metropolitan","3464"
"81","6/08/2016","h",785000,597,127,4,1,2,NA,"13.5","Western Metropolitan","3464"
"82","7/05/2016","h",725000,976,186,6,3,2,1980,"13.5","Western Metropolitan","3464"
"83","7/05/2016","t",450000,110,90,2,1,1,2015,"13.5","Western Metropolitan","3464"
"84","7/11/2016","u",515000,141,73,2,1,1,2013,"13.5","Western Metropolitan","3464"
"85","8/10/2016","h",680000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"86","10/09/2016","u",530000,120,94,2,1,1,2012,"13.5","Western Metropolitan","3464"
"87","10/09/2016","h",895000,1063,133,3,1,6,1975,"13.5","Western Metropolitan","3464"
"88","10/09/2016","u",600000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"89","10/12/2016","h",805000,0,105,3,1,1,1950,"13.5","Western Metropolitan","3464"
"90","10/12/2016","t",760000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"91","11/02/2017","u",752000,265,130,3,1,1,1993,"13.5","Western Metropolitan","3464"
"92","12/11/2016","u",580000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"93","12/11/2016","h",725000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"94","13/08/2016","h",758000,NA,NA,4,NA,NA,NA,"13.5","Western Metropolitan","3464"
"95","13/08/2016","u",440000,192,NA,2,1,1,NA,"13.5","Western Metropolitan","3464"
"96","14/05/2016","h",970000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"97","14/05/2016","h",755000,596,NA,5,2,2,NA,"13.5","Western Metropolitan","3464"
"98","15/10/2016","h",985000,NA,NA,4,NA,NA,NA,"13.5","Western Metropolitan","3464"
"99","15/10/2016","t",700000,165,133,3,2,2,2009,"13.5","Western Metropolitan","3464"
"100","15/10/2016","u",509500,NA,NA,2,NA,NA,NA,"13.5","Western Metropolitan","3464"
"101","16/04/2016","h",830000,971,113,3,1,2,1960,"13.5","Western Metropolitan","3464"
"102","16/07/2016","u",462500,164,NA,2,1,1,2003,"13.5","Western Metropolitan","3464"
"103","16/07/2016","h",670000,657,NA,3,2,2,NA,"13.5","Western Metropolitan","3464"
"104","16/07/2016","h",675000,612,100,2,1,1,1975,"13.5","Western Metropolitan","3464"
"105","16/07/2016","h",1042000,612,174,3,2,5,1950,"13.5","Western Metropolitan","3464"
"106","17/09/2016","h",910000,775,NA,3,1,1,NA,"13.5","Western Metropolitan","3464"
"107","17/09/2016","h",773000,531,309,4,3,4,1980,"13.5","Western Metropolitan","3464"
"108","17/09/2016","h",715000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"109","18/03/2017","h",810000,555,192,3,3,2,1980,"13.5","Western Metropolitan","3464"
"110","18/03/2017","h",715000,422,126,3,2,2,1995,"13.5","Western Metropolitan","3464"
"111","18/03/2017","h",790000,614,NA,3,1,3,NA,"13.5","Western Metropolitan","3464"
"112","18/06/2016","t",460000,NA,NA,2,NA,NA,NA,"13.5","Western Metropolitan","3464"
"113","18/06/2016","t",540000,161,101,3,2,1,2010,"13.5","Western Metropolitan","3464"
"114","19/11/2016","t",825000,293,102,3,2,1,1960,"13.5","Western Metropolitan","3464"
"115","22/05/2016","h",685000,579,113,3,1,1,1975,"13.5","Western Metropolitan","3464"
"116","22/05/2016","u",445000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"117","22/08/2016","h",805000,623,NA,3,1,1,NA,"13.5","Western Metropolitan","3464"
"118","22/08/2016","u",510000,141,76,2,1,1,NA,"13.5","Western Metropolitan","3464"
"119","22/08/2016","h",612000,212,NA,3,2,1,NA,"13.5","Western Metropolitan","3464"
"120","23/04/2016","h",662000,612,NA,3,1,2,NA,"13.5","Western Metropolitan","3464"
"121","24/09/2016","h",978000,532,NA,4,3,2,NA,"13.5","Western Metropolitan","3464"
"122","25/02/2017","u",NA,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"123","25/02/2017","h",720000,585,NA,3,1,1,NA,"13.5","Western Metropolitan","3464"
"124","26/07/2016","u",474000,NA,NA,2,NA,NA,NA,"13.5","Western Metropolitan","3464"
"125","26/07/2016","t",490000,NA,NA,2,NA,NA,NA,"13.5","Western Metropolitan","3464"
"126","27/06/2016","h",405000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"127","27/11/2016","t",715000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"128","27/11/2016","u",671500,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"129","27/11/2016","h",765000,509,NA,4,1,2,NA,"13.5","Western Metropolitan","3464"
"130","27/11/2016","h",900000,628,146,4,2,3,1975,"13.5","Western Metropolitan","3464"
"131","28/08/2016","u",820000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"132","30/07/2016","u",650000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"133","30/07/2016","t",552000,NA,NA,3,NA,NA,NA,"13.5","Western Metropolitan","3464"
"134","3/09/2016","h",1275000,120,82,2,1,0,1900,"3.3","Southern Metropolitan","3280"
"135","3/09/2016","h",1455000,159,NA,2,1,0,NA,"3.3","Southern Metropolitan","3280"
"136","4/03/2017","h",2850000,211,198,3,2,0,1890,"3.3","Southern Metropolitan","3280"
"137","4/03/2017","h",1850000,128,133,3,2,0,1890,"3.3","Southern Metropolitan","3280"
"138","4/03/2017","h",NA,215,NA,2,1,0,1900,"3.3","Southern Metropolitan","3280"
"139","4/03/2017","h",1436000,130,81,2,1,0,1900,"3.3","Southern Metropolitan","3280"
"140","6/08/2016","h",NA,336,145,3,2,1,1890,"3.3","Southern Metropolitan","3280"
"141","6/08/2016","h",1110000,147,NA,2,1,0,1900,"3.3","Southern Metropolitan","3280"
"142","7/05/2016","h",1550000,167,NA,2,1,1,NA,"3.3","Southern Metropolitan","3280"
"143","7/05/2016","h",2300000,153,180,4,2,1,1880,"3.3","Southern Metropolitan","3280"
"144","7/05/2016","h",NA,316,125,3,1,2,1880,"3.3","Southern Metropolitan","3280"
"145","7/11/2016","t",1550000,718,NA,3,2,2,NA,"3.3","Southern Metropolitan","3280"
"146","7/11/2016","h",1800000,132,159,3,2,1,1996,"3.3","Southern Metropolitan","3280"
"147","8/10/2016","h",2485000,NA,NA,3,NA,NA,NA,"3.3","Southern Metropolitan","3280"
"148","10/09/2016","h",2120000,199,107,2,1,1,1900,"3.3","Southern Metropolitan","3280"
"149","10/09/2016","h",1800000,253,NA,3,1,1,NA,"3.3","Southern Metropolitan","3280"
"150","10/09/2016","h",1800000,90,122,3,2,1,1900,"3.3","Southern Metropolitan","3280"
"151","10/09/2016","h",NA,126,88,3,1,0,1910,"3.3","Southern Metropolitan","3280"
"152","10/12/2016","h",1810000,240,NA,2,1,0,NA,"3.3","Southern Metropolitan","3280"
"153","10/12/2016","h",2615000,177,181,3,2,1,1880,"3.3","Southern Metropolitan","3280"
"154","10/12/2016","h",2100000,237,NA,5,2,1,NA,"3.3","Southern Metropolitan","3280"
"155","10/12/2016","h",1300000,129,NA,3,1,0,NA,"3.3","Southern Metropolitan","3280"
"156","12/06/2016","h",1370000,0,85,3,2,2,2000,"3.3","Southern Metropolitan","3280"
"157","12/11/2016","h",1000000,288,NA,2,1,0,NA,"3.3","Southern Metropolitan","3280"
"158","13/08/2016","h",NA,366,117,2,1,2,1900,"3.3","Southern Metropolitan","3280"
"159","15/10/2016","h",2575000,228,NA,3,2,1,NA,"3.3","Southern Metropolitan","3280"
"160","15/10/2016","h",1322500,149,98,2,1,0,1890,"3.3","Southern Metropolitan","3280"
"161","15/10/2016","h",NA,152,NA,2,1,1,NA,"3.3","Southern Metropolitan","3280"
"162","15/10/2016","h",1562500,141,83,2,1,0,1890,"3.3","Southern Metropolitan","3280"
"163","16/04/2016","h",2000000,211,147,3,2,1,1900,"3.3","Southern Metropolitan","3280"
"164","17/09/2016","h",NA,236,NA,4,1,0,NA,"3.3","Southern Metropolitan","3280"
"165","18/03/2017","h",NA,300,NA,3,1,2,NA,"3.3","Southern Metropolitan","3280"
"166","18/03/2017","h",1900000,209,NA,3,1,0,1900,"3.3","Southern Metropolitan","3280"
"167","18/03/2017","h",3010000,147,146,3,2,0,1890,"3.3","Southern Metropolitan","3280"
"168","18/06/2016","h",NA,173,NA,3,1,0,NA,"3.3","Southern Metropolitan","3280"
"169","18/06/2016","h",2800000,327,254,4,3,1,1910,"3.3","Southern Metropolitan","3280"
"170","19/11/2016","h",NA,169,NA,3,1,0,NA,"3.3","Southern Metropolitan","3280"
"171","22/05/2016","u",647000,0,NA,2,1,1,NA,"3.3","Southern Metropolitan","3280"
"172","22/05/2016","h",NA,122,NA,3,2,1,NA,"3.3","Southern Metropolitan","3280"
"173","23/04/2016","h",2100000,120,123,3,1,1,1900,"3.3","Southern Metropolitan","3280"
"174","24/09/2016","h",NA,241,119,3,2,1,1990,"3.3","Southern Metropolitan","3280"
"175","24/09/2016","h",NA,225,NA,2,2,1,NA,"3.3","Southern Metropolitan","3280"
"176","24/09/2016","h",NA,435,NA,7,7,0,NA,"3.3","Southern Metropolitan","3280"
"177","24/09/2016","h",2000000,238,131,3,1,1,1890,"3.3","Southern Metropolitan","3280"
"178","25/02/2017","u",442500,0,34,1,1,0,1970,"3.3","Southern Metropolitan","3280"
"179","25/02/2017","h",4735000,330,207,4,2,1,1910,"3.3","Southern Metropolitan","3280"
"180","25/02/2017","h",1340000,136,NA,2,1,0,NA,"3.3","Southern Metropolitan","3280"
"181","25/02/2017","h",1801000,202,NA,3,1,1,NA,"3.3","Southern Metropolitan","3280"
"182","26/07/2016","h",1532000,0,NA,3,3,1,NA,"3.3","Southern Metropolitan","3280"
"183","26/07/2016","h",3755000,325,NA,3,2,2,NA,"3.3","Southern Metropolitan","3280"
"184","27/06/2016","h",2140000,183,145,4,2,1,1880,"3.3","Southern Metropolitan","3280"
"185","27/06/2016","u",1810000,NA,NA,2,NA,NA,NA,"3.3","Southern Metropolitan","3280"
"186","27/11/2016","h",1750000,162,NA,2,1,1,NA,"3.3","Southern Metropolitan","3280"
"187","28/05/2016","h",980000,79,68,2,1,0,1890,"3.3","Southern Metropolitan","3280"
"188","28/05/2016","h",NA,99,65,2,1,0,1900,"3.3","Southern Metropolitan","3280"
"189","28/05/2016","h",NA,230,185,4,2,0,1900,"3.3","Southern Metropolitan","3280"
"190","28/05/2016","h",NA,141,NA,3,2,1,NA,"3.3","Southern Metropolitan","3280"
"191","28/08/2016","h",2030000,152,NA,3,2,0,NA,"3.3","Southern Metropolitan","3280"
"192","28/08/2016","h",1740000,147,134,3,2,2,1890,"3.3","Southern Metropolitan","3280"
"193","30/07/2016","h",2800000,0,NA,3,3,1,NA,"3.3","Southern Metropolitan","3280"
"194","30/07/2016","h",985000,81,54,1,1,0,1900,"3.3","Southern Metropolitan","3280"
"195","3/09/2016","h",NA,174,122,3,2,1,2003,"6.4","Northern Metropolitan","2211"
"196","3/09/2016","h",2000000,853,263,4,2,4,1930,"6.4","Northern Metropolitan","2211"
"197","3/09/2016","h",1110000,208,NA,3,2,2,2013,"6.4","Northern Metropolitan","2211"
"198","4/03/2017","h",1492000,411,NA,3,2,2,NA,"6.4","Northern Metropolitan","2211"
"199","7/05/2016","u",480000,NA,NA,2,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"200","7/05/2016","h",NA,922,NA,3,1,3,NA,"6.4","Northern Metropolitan","2211"
"201","8/10/2016","t",1304000,NA,NA,3,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"202","8/10/2016","h",1717500,599,203,4,2,1,1925,"6.4","Northern Metropolitan","2211"
"203","12/06/2016","h",2840000,809,165,5,4,4,1910,"6.4","Northern Metropolitan","2211"
"204","12/11/2016","h",NA,743,NA,5,3,4,1915,"6.4","Northern Metropolitan","2211"
"205","12/11/2016","u",525500,88,60,2,1,1,1960,"6.4","Northern Metropolitan","2211"
"206","12/11/2016","t",805000,155,140,2,2,3,2004,"6.4","Northern Metropolitan","2211"
"207","12/11/2016","u",465000,0,NA,2,1,1,NA,"6.4","Northern Metropolitan","2211"
"208","13/08/2016","t",NA,NA,NA,4,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"209","13/08/2016","h",1480000,NA,NA,3,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"210","15/10/2016","h",2000000,686,NA,3,3,2,NA,"6.4","Northern Metropolitan","2211"
"211","16/04/2016","h",1540000,592,NA,3,1,2,NA,"6.4","Northern Metropolitan","2211"
"212","16/04/2016","h",NA,NA,NA,4,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"213","17/09/2016","u",590000,NA,NA,2,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"214","18/03/2017","u",820000,183,NA,2,1,1,NA,"6.4","Northern Metropolitan","2211"
"215","19/11/2016","h",1830000,606,112,4,2,2,1970,"6.4","Northern Metropolitan","2211"
"216","19/11/2016","h",2100000,575,271,4,2,2,2008,"6.4","Northern Metropolitan","2211"
"217","22/05/2016","h",865000,180,131,3,1,1,2010,"6.4","Northern Metropolitan","2211"
"218","22/05/2016","u",390000,0,60,2,1,1,1960,"6.4","Northern Metropolitan","2211"
"219","24/09/2016","t",650000,0,NA,2,1,0,NA,"6.4","Northern Metropolitan","2211"
"220","25/02/2017","u",512000,0,61,2,1,1,1965,"6.4","Northern Metropolitan","2211"
"221","25/02/2017","h",1361000,NA,NA,3,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"222","25/02/2017","h",NA,597,NA,4,2,2,NA,"6.4","Northern Metropolitan","2211"
"223","26/07/2016","h",1310000,NA,NA,3,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"224","27/06/2016","h",570000,NA,NA,3,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"225","27/06/2016","h",1165000,979,NA,3,1,2,NA,"6.4","Northern Metropolitan","2211"
"226","27/11/2016","u",530000,NA,NA,2,NA,NA,NA,"6.4","Northern Metropolitan","2211"
"227","27/11/2016","h",1900000,556,272,4,2,2,1930,"6.4","Northern Metropolitan","2211"
"228","28/08/2016","h",NA,552,211,5,2,2,1916,"6.4","Northern Metropolitan","2211"
"229","28/08/2016","h",1485000,597,NA,3,0,0,NA,"6.4","Northern Metropolitan","2211"
"230","30/07/2016","h",1950000,589,210,4,2,3,1920,"6.4","Northern Metropolitan","2211"
"231","3/09/2016","h",520000,352,242,3,2,1,2015,"13.8","Western Metropolitan","5301"
"232","3/12/2016","h",1525000,729,268,5,3,3,2005,"13.8","Western Metropolitan","5301"
"233","4/02/2016","t",720000,292,125,2,1,2,2013,"13.8","Western Metropolitan","5301"
"234","4/03/2017","h",1120000,506,120,3,1,2,1930,"13.8","Western Metropolitan","5301"
"235","4/06/2016","h",780000,655,NA,4,1,4,NA,"13.8","Western Metropolitan","5301"
"236","4/06/2016","h",1780000,1057,220,4,3,6,1962,"13.8","Western Metropolitan","5301"
"237","6/08/2016","u",630000,311,94,3,1,2,1955,"13.8","Western Metropolitan","5301"
"238","6/08/2016","u",406000,65,NA,2,1,1,NA,"13.8","Western Metropolitan","5301"
"239","7/05/2016","h",660000,602,123,3,1,1,1955,"13.8","Western Metropolitan","5301"
"240","7/11/2016","h",683500,530,NA,3,1,1,NA,"13.8","Western Metropolitan","5301"
"241","8/10/2016","u",540000,NA,NA,2,NA,NA,NA,"13.8","Western Metropolitan","5301"
"242","8/10/2016","u",580000,225,93,2,1,1,1988,"13.8","Western Metropolitan","5301"
"243","8/10/2016","h",1335000,777,22,3,1,4,1953,"13.8","Western Metropolitan","5301"
"244","8/10/2016","t",800000,280,NA,3,2,2,1997,"13.8","Western Metropolitan","5301"
"245","10/09/2016","u",510000,127,76,2,1,1,1990,"13.8","Western Metropolitan","5301"
"246","10/09/2016","h",1070000,695,NA,4,2,2,NA,"13.8","Western Metropolitan","5301"
"247","10/09/2016","u",425000,115,57,2,1,2,1980,"13.8","Western Metropolitan","5301"
"248","10/12/2016","u",605000,230,NA,3,2,2,NA,"13.8","Western Metropolitan","5301"
"249","11/02/2017","t",705000,197,152,3,2,2,NA,"13.8","Western Metropolitan","5301"
"250","11/02/2017","u",391000,0,65,2,1,1,1965,"13.8","Western Metropolitan","5301"
"251","11/02/2017","u",440000,0,NA,2,1,1,NA,"13.8","Western Metropolitan","5301"
"252","11/02/2017","h",845000,745,130,4,1,2,1950,"13.8","Western Metropolitan","5301"
"253","11/03/2017","h",766000,NA,NA,3,NA,NA,NA,"13.8","Western Metropolitan","5301"
"254","12/11/2016","t",743000,211,176,3,2,2,NA,"13.8","Western Metropolitan","5301"
"255","12/11/2016","t",650000,NA,NA,3,NA,NA,NA,"13.8","Western Metropolitan","5301"
"256","13/08/2016","u",730000,69,141,3,2,1,2014,"13.8","Western Metropolitan","5301"
"257","13/08/2016","t",916500,NA,NA,3,NA,NA,NA,"13.8","Western Metropolitan","5301"
"258","14/05/2016","h",635000,625,NA,3,1,4,1960,"13.8","Western Metropolitan","5301"
"259","14/05/2016","u",620000,168,NA,2,1,1,NA,"13.8","Western Metropolitan","5301"
"260","15/10/2016","u",447000,137,77,2,1,1,1990,"13.8","Western Metropolitan","5301"
"261","16/04/2016","u",730000,70,NA,3,2,1,NA,"13.8","Western Metropolitan","5301"
"262","16/04/2016","h",678000,606,87,3,1,2,1950,"13.8","Western Metropolitan","5301"
"263","16/07/2016","u",580000,175,76,2,2,1,2013,"13.8","Western Metropolitan","5301"
"264","17/09/2016","h",712000,363,NA,3,1,2,NA,"13.8","Western Metropolitan","5301"
"265","18/03/2017","h",840000,534,136,3,2,2,1965,"13.8","Western Metropolitan","5301"
"266","19/11/2016","h",980000,724,NA,3,1,2,NA,"13.8","Western Metropolitan","5301"
"267","19/11/2016","h",1000000,NA,NA,4,NA,NA,NA,"13.8","Western Metropolitan","5301"
"268","22/05/2016","t",605100,265,NA,3,2,0,NA,"13.8","Western Metropolitan","5301"
"269","22/08/2016","h",880000,577,NA,3,3,1,NA,"13.8","Western Metropolitan","5301"
"270","23/04/2016","u",577000,205,113,3,2,1,2007,"13.8","Western Metropolitan","5301"
"271","25/02/2017","h",NA,504,NA,4,2,3,NA,"13.8","Western Metropolitan","5301"
"272","25/02/2017","h",1030000,797,NA,4,1,0,NA,"13.8","Western Metropolitan","5301"
"273","25/02/2017","u",605000,181,NA,3,1,2,NA,"13.8","Western Metropolitan","5301"
"274","25/02/2017","h",685000,NA,NA,3,NA,NA,NA,"13.8","Western Metropolitan","5301"
"275","25/02/2017","u",NA,117,58,2,1,1,1980,"13.8","Western Metropolitan","5301"
"276","27/06/2016","h",753000,529,NA,3,2,2,NA,"13.8","Western Metropolitan","5301"
"277","27/11/2016","h",857000,675,100,2,2,1,1950,"13.8","Western Metropolitan","5301"
"278","28/05/2016","h",1500000,929,NA,3,1,1,NA,"13.8","Western Metropolitan","5301"
"279","28/05/2016","u",730000,70,3,3,2,1,2014,"13.8","Western Metropolitan","5301"
"280","28/05/2016","h",900000,697,NA,3,1,4,NA,"13.8","Western Metropolitan","5301"
"281","28/08/2016","h",740000,604,NA,3,1,2,NA,"13.8","Western Metropolitan","5301"
"282","28/08/2016","h",931000,532,NA,4,2,3,1970,"13.8","Western Metropolitan","5301"
"283","30/07/2016","h",535600,154,91,2,1,1,1996,"13.8","Western Metropolitan","5301"
"284","3/09/2016","h",NA,620,108,3,1,1,1950,"11.1","Western Metropolitan","5132"
"285","3/09/2016","h",1085000,592,251,5,3,6,1965,"11.1","Western Metropolitan","5132"
"286","3/09/2016","h",781000,533,117,3,1,2,1970,"11.1","Western Metropolitan","5132"
"287","3/09/2016","h",857500,NA,NA,4,NA,NA,NA,"11.1","Western Metropolitan","5132"
"288","4/03/2017","h",960000,NA,NA,4,NA,NA,NA,"11.1","Western Metropolitan","5132"
